일자,금리,무역수지,실업률,환율,주식예탁금,주가
Aug-00,7.9,1346,3.8,1108.8,8475653,720.4
Sep-00,8,1841,3.7,1115.1,7537045,622.9
Oct-00,7.8,1144,3.5,1139,7029036,548.1
Nov-00,7.3,829,3.7,1214.3,7079419,544.1
Dec-00,6.8,1801,4.2,1264.5,6057559,526.4
01-Jan,6,214,5.1,1259,8717044,585
01-Feb,5.4,622,5.5,1250.8,8160622,593.4
01-Mar,5.8,1173,5.1,1327.5,7644483,543.9
01-Apr,6.6,909,4.1,1319.7,8652754,530.3
01-May,6.5,1752,3.7,1282.7,9027545,600.7
01-Jun,6,1213,3.6,1297.5,7751020,602.9
01-Jul,5.8,284,3.6,1300,7644425,554.1
01-Aug,5.2,428,3.6,1278,7613520,567.7
01-Sep,4.9,737,3.3,1309.6,8220522,504
01-Oct,4.7,579,3.4,1296.1,8207838,523.3
01-Nov,5.3,816,3.4,1273,9939724,604.9
01-Dec,5.9,612,3.8,1313.5,9557885,666
02-Jan,6.1,56,4.1,1314.4,11563288,739
02-Feb,5.9,552,4.1,1323.8,10772533,774.4
02-Mar,6.3,1261,3.8,1325.9,12003890,864.7
02-Apr,6.5,625,3.4,1294,11686593,894
02-May,6.3,1475,3.2,1226.3,10204721,842.2
02-Jun,5.9,960,2.9,1201.3,9577603,784.3
02-Jul,5.7,363,3.1,1188,9349363,753.7
02-Aug,5.4,1098,3.2,1201.9,9253382,713.2
02-Sep,5.4,909,2.7,1227.8,8238971,703
02-Oct,5.4,1268,2.9,1221.6,9074619,642.2
02-Nov,5.3,1204,2.9,1208.8,9235844,679.7
02-Dec,5.3,574,3.1,1186.2,8140594,699.8
03-Jan,5,-175,3.8,1070.1,7792714,631
03-Feb,4.7,-521,3.8,1193.7,7994702,591.6
03-Mar,4.8,-491,3.7,1254.6,11017960,550.8
03-Apr,4.6,962,3.5,1215.3,9992071,585.9
03-May,4.3,1152,3.4,1205.9,9842037,613.5
03-Jun,4.1,2228,3.4,1293,10423573,663.2
03-Jul,4.4,534,3.6,1179.7,10195816,703.5
03-Aug,4.6,1834,3.5,1178.2,10024919,731.7
03-Sep,4.3,2490,3.3,1150.1,9131277,742.3
03-Oct,4.3,2393,3.4,1183.1,9776019,756.5
03-Nov,4.8,2481,3.6,1202.1,9536302,789.1
03-Dec,4.9,2105,3.8,1192.6,9543693,801.2
04-Jan,4.9,2778,4,1173.7,9501745,845.5
04-Feb,4.8,1668,4.2,1176.2,9014871,867.5
04-Mar,4.6,2055,4,1146.6,8869009,875.6
04-Apr,4.5,2653,3.7,1173.3,10386632,907.1
04-May,4.4,2939,3.5,1160.1,8745219,798.8
04-Jun,4.3,3113,3.4,1155.5,8381423,771.6
04-Jul,4.2,2614,3.7,1170,7842231,746.1
04-Aug,3.8,1675,3.6,1153,8517939,770.3
04-Sep,3.6,2638,3.4,1151.8,8788808,835.9
04-Oct,3.5,2255,3.4,1119.6,8085235,849.1
04-Nov,3.4,2765,3.5,1048.2,8584325,863.1
04-Dec,3.3,2230,3.8,1035.1,8130850,873.1
05-Jan,3.7,3004,4.2,1025.6,9989077,903.4
05-Feb,4.2,2004,4.3,1006,10613415,964.5
05-Mar,4,1172,4.1,1015.5,10008270,988.2
05-Apr,3.9,1629,3.8,1002.8,9434328,955.4
05-May,3.7,1961,3.5,1007.7,9668744,939
05-Jun,3.8,2419,3.6,1025.4,10071352,991.3
05-Jul,4.1,1727,3.7,1026.8,11620741,1058.7
05-Aug,4.3,1342,3.6,1038.5,11139033,1101.8
05-Sep,4.5,1800,3.6,1041.1,11783193,1171
05-Oct,4.8,2700,3.6,1040.2,11493541,1190.9
05-Nov,5.1,1976,3.3,1033.5,12819794,1253.3
05-Dec,5.1,1446,3.5,1011.6,11895560,1338.8
06-Jan,5,169,3.7,964.6,13125226,1379.3
06-Feb,4.9,279,4.1,970.9,12114613,1341.7
06-Mar,4.9,895,3.9,971.6,11248693,1331.7
06-Apr,5,1104,3.5,943.4,13276411,1415.9
06-May,4.8,1725,3.2,945.6,10781390,1388.8
06-Jun,4.9,1926,3.4,948.9,9799729,1249.2
06-Jul,4.9,224,3.4,955.2,9719467,1278
06-Aug,4.8,258,3.4,961.4,9618528,1316.1
06-Sep,4.7,2014,3.2,946.2,9333554,1356.5
06-Oct,4.6,2394,3.3,942.3,9614849,1354
06-Nov,4.7,3837,3.2,929.5,9337799,1403.9
06-Dec,4.8,1257,3.3,929.8,8448888,1418.8
07-Jan,5,533,3.6,941,8535821,1379.3
07-Feb,4.9,819,3.7,941.8,9736895,1434.9
07-Mar,4.8,1091,3.5,940.9,9909658,1431.6
07-Apr,4.9,347,3.4,930.8,11366968,1517.1
07-May,5.1,1183,3.2,927.7,13175864,1614.9
07-Jun,5.2,3492,3.2,923.8,14015318,1754.3
07-Jul,5.4,984,3.2,919.3,14555935,1911.6
07-Aug,5.3,1356,3.1,938.3,12836974,1815
07-Sep,5.4,2130,3,915.1,12692841,1879
07-Oct,5.4,1693,3,900.7,13130631,2004.6
07-Nov,5.5,1882,3,921.1,10827719,1924.8
07-Dec,5.9,-866,3.1,936.1,9508721,1904
08-Jan,5.4,-4043,3.3,943.9,9771113,1732.3
08-Feb,5.1,-1446,3.5,939,9284973,1689.5
08-Mar,5.2,-1119,3.4,990.4,9561687,1651.2
08-Apr,5,-410,3.2,1002.6,11022300,1776.6
08-May,5.3,679,3,1030.1,10030722,1846.8
08-Jun,5.7,-569,3.1,1046,9170435,1758.2
08-Jul,6,-1991,3.1,1012.2,9041815,1569.6
08-Aug,5.8,-3809,3.1,1089,8104895,1537.6
08-Sep,5.8,-2100,3,1207,9427159,1446.6
08-Oct,5.1,1012,3,1291,10026310,1201.7
08-Nov,5,-12,3.1,1469,9617374,1074
08-Dec,4,542,3.3,1259.5,9240571,1114.9
09-Jan,3.4,-3766,3.6,1379.5,10014705,1156.4
09-Feb,3.8,2799,3.9,1534,10301501,1139.8
09-Mar,3.7,3970,4,1383.5,12942209,1140.5
09-Apr,3.8,5453,3.8,1282,14272309,1322.1
09-May,3.8,4417,3.8,1255,14570308,1400.5
09-Jun,4.1,6521,3.9,1273.9,12722676,1395.2
09-Jul,4.1,4228,3.7,1228.5,14386136,1460
09-Aug,4.4,1542,3.7,1248.9,13932403,1577.9
09-Sep,4.4,4165,3.4,1178.1,13863875,1659.5
09-Oct,4.5,3573,3.2,1182.5,13143718,1630.6
09-Nov,4.3,4457,3.3,1162.8,12282675,1583.5
09-Dec,4.2,3090,3.5,1164.5,11786521,1646.6
10-Jan,4.3,-801,5,1161.8,13058022,1682.2
10-Feb,4.2,1995,4.8,1160,12212921,1599
10-Mar,3.9,1733,4.1,1131.3,13068297,1665.5
10-Apr,3.8,3779,3.7,1108.4,14014129,1730.3
10-May,3.7,4034,3.2,1202.5,13646709,1648.3
10-Jun,3.8,6794,3.5,1222.2,13657176,1691.9
10-Jul,3.9,5002,3.7,1182.7,13644024,1731.1
10-Aug,3.7,1206,3.3,1198.1,12681411,1762.2
10-Sep,3.5,4409,3.4,1140.2,13815291,1815.8
10-Oct,3.2,6339,3.3,1125.3,14834689,1889.7
10-Nov,3.4,2592,3,1159.7,15076117,1924.7
10-Dec,3.3,4088,3.5,1134.8,13702433,2002.5
11-Jan,3.7,2484,3.8,1121.5,16260036,2091.6
11-Feb,3.9,2065,4.5,1128.7,14676169,2002.9
11-Mar,3.7,2487,4.3,1096.7,15585520,2002.7
11-Apr,3.7,4348,3.7,1071.5,17277007,2153.1
11-May,3.7,2046,3.2,1079.2,15249551,2121.9
11-Jun,3.7,1912,3.3,1067.7,15623112,2074.6
11-Jul,3.8,4654,3.3,1054.5,17281439,2150.1
11-Aug,3.6,410,3,1066.8,19338872,1869.4
11-Sep,3.5,1232,3,1178.1,18747297,1791
11-Oct,3.5,3903,2.9,1110,20530376,1825.9
11-Nov,3.4,3003,2.9,1143,18336319,1858.8
11-Dec,3.4,2256,3,1151,17427014,1863.2
12-Jan,3.4,-2317,3.5,1123,20081668,1891
12-Feb,3.4,1216,4.2,1118,19915355,2003.2
12-Mar,3.6,2277,3.7,1133,18221060,2023.4
12-Apr,3.5,2138,3.5,1130,17815462,1995.9
12-May,3.4,2392,3.1,1180,16876255,1886.4
12-Jun,3.3,5169,3.2,1145,16358049,1848.6
12-Jul,3,2691,3.1,1130,16275069,1826.8
12-Aug,2.8,1929,3,1134,18271825,1918.9
12-Sep,2.8,2853,2.9,1111.4,18734735,1961.3
12-Oct,2.8,3708,2.8,1090.7,16873081,1942.2
12-Nov,2.8,4423,2.8,1082.9,16736081,1904.7
12-Dec,2.9,1806,2.9,1070.6,17074950,1973.8
13-Jan,2.8,376,3.4,1089,16654733,1986.1
13-Feb,2.7,1874,3.9,1083,17210909,1979.9
13-Mar,2.6,3336,3.5,1111,17247500,1990.2
13-Apr,2.6,2510,3.2,1101,17958897,1938.9
13-May,2.6,5918,3,1129.7,18453380,1974.5
13-Jun,2.9,5972,3.1,1142,18262644,1884.4
13-Jul,2.9,2446,3.1,1123.5,17407090,1871.8
13-Aug,2.9,4717,3,1110,17504804,1897
13-Sep,2.9,3595,2.7,1074.7,16265190,1984.4
13-Oct,2.8,4875,2.7,1060.7,15250949,2029.7
13-Nov,2.9,4799,2.6,1058.2,14552584,2009.9
13-Dec,2.9,3630,3,1055.4,13900425,1988.3
14-Jan,2.9,814,3.4,1070.4,14105551,1948.2
14-Feb,2.9,850,4.5,1067.5,13895151,1937.7
14-Mar,2.9,3505,3.9,1064.7,13629839,1952.4
14-Apr,2.9,4394,3.8,1033.2,14884890,1991.2
14-May,2.8,4970,3.5,1020.1,14754713,1994.1
14-Jun,2.8,5352,3.5,1011.8,14282965,1995.1
14-Jul,2.6,2341,3.4,1027.9,15644684,2022
14-Aug,2.5,3316,3.3,1014,14953078,2060.9
14-Sep,2.4,3261,3.1,1055.2,15602746,2042.7
14-Oct,2.2,7534,3.2,1068.5,15704738,1942.8
14-Nov,2.1,5262,3,1107.9,16005778,1959.7
14-Dec,2.1,5551,3.3,1099.3,16141366,1941.9
15-Jan,2,5822,3.7,1093.5,16361718,1921
15-Feb,2,7474,4.5,1098.4,16738286,1961
15-Mar,1.9,8337,4,1109.5,18362839,2012.6
15-Apr,1.7,8363,3.9,1072.4,21215432,2107.3
15-May,1.9,6287,3.7,1108.2,20993610,2114.9
15-Jun,1.8,9957,3.8,1115.5,21665830,2063.7
15-Jul,1.8,7049,3.6,1170,20794814,2058
15-Aug,1.7,4335,3.4,1182.5,20915312,1952.6
15-Sep,1.7,8891,3.2,1185.3,21968520,1939.6
15-Oct,1.6,6589,3.1,1140.1,21064302,2020.6
15-Nov,1.8,10235,3,1158.1,20764990,2006.8
15-Dec,1.7,6918,3.2,1172.5,20903529,1971.5
16-Jan,1.6,4938,3.7,1199.1,20428088,1894.7
16-Feb,1.5,6762,4.9,1236.7,20661651,1900.6
16-Mar,1.5,9658,4.2,1143.5,21432884,1976.5
16-Apr,1.5,8693,3.9,1139.3,22892612,1996.2
16-May,1.5,6709,3.6,1191.7,21471760,1966.7
16-Jun,1.3,11319,3.6,1151.8,23870600,1977
16-Jul,1.2,7510,3.5,1120.2,22684004,2002.5
16-Aug,1.2,5021,3.6,1114.8,21739285,2036.7
16-Sep,1.3,6858,3.5,1101.3,21934035,2042.6
16-Oct,1.4,6933,3.3,1144.5,22005344,2036
16-Nov,1.6,8068,3.1,1169.1,21607507,1981.8
16-Dec,1.7,6765,3.2,1207.7,21760096,2021.7
17-Jan,1.6,2612,3.7,1162.1,21923610,2061.7
17-Feb,1.7,6964,4.9,1130.7,22218972,2082.8
17-Mar,1.7,6059,4.1,1118.4,21768207,2136.2
17-Apr,1.7,12885,4.2,1137.9,24893152,2160.2
17-May,1.7,5639,3.6,1119.5,23968356,2301.9
17-Jun,1.7,10721,3.8,1144.1,23871912,2372.2
17-Jul,1.7,10223,3.4,1119,24316449,2412.9
17-Aug,1.8,6556,3.6,1127.8,23297422,2372.2
17-Sep,1.8,13419,3.3,1145.4,23139799,2371.8
17-Oct,2,6934,3.2,1120.4,24328688,2482.9
17-Nov,2.2,7693,3.1,1088.2,26060322,2533.5
17-Dec,2.1,5511,3.3,1070.5,26495351,2467.7
18-Jan,2.2,3416,3.7,1067.9,30685764,2520.9
18-Feb,2.3,2801,4.6,1082.8,26892914,2439.1
18-Mar,2.3,6412,4.5,1063.5,27000949,2451.6
18-Apr,2.2,6156,4.1,1068,28269828,2458.2
18-May,2.3,6229,4,1077.7,28817102,2461.3
18-Jun,2.2,6079,3.7,1114.5,26940987,2394.5
18-Jul,2.1,6893,3.7,1118.7,27678020,2284.3
18-Aug,2,6820,4,1112.9,25680421,2283.8
18-Sep,2,9617,3.6,1109.3,26994891,2307.3
18-Oct,2,6380,3.5,1139.6,25270071,2153.5
18-Nov,1.9,4671,3.2,1121.2,22667687,2083.3
18-Dec,1.8,4182,3.4,1115.7,24849598,2070.1
19-Jan,1.8,1016,4.5,1112.7,28208285,2102
19-Feb,1.8,2830,4.7,1124.7,25500047,2210.2
19-Mar,1.8,5011,4.3,1135.1,24960471,2161.9
19-Apr,1.7,3734,4.4,1168.2,25807040,2212.1
19-May,1.7,2084,4,1190.9,24255776,2086.9
19-Jun,1.5,3904,4,1154.7,24710304,2105.3
19-Jul,1.4,2316,3.9,1183.1,24107780,2079.5
19-Aug,1.2,1563,3,1211.2,23230387,1944.2
19-Sep,1.3,5888,3.1,1196.2,24456786,2045.2
19-Oct,1.4,5252,3,1163.4,25045382,2065.8
19-Nov,1.5,3312,3.1,1181.2,24671138,2128.8
19-Dec,1.4,1981,3.4,1156.4,27393296,2147
20-Jan,1.4,373,4.1,1191.8,28718926,2203.4
20-Feb,1.3,3900,4.1,1213.7,31211202,2167.1
20-Mar,1.1,4371,4.2,1217.4,43082921,1786.8
20-Apr,1,-1608,4.2,1218.2,42835008,1849.6
20-May,0.9,386,4.5,1238.5,43969233,1965.2
20-Jun,0.9,3621,4.3,1203,46323213,2134.7
20-Jul,0.8,4134,4,1191.3,47786310,2249.3
20-Aug,0.8,4561.2,3.1,1187.8,60526989,2326.1
20-Sep,0.9,10174.7,3.6,1169.5,53880132,2327.9
20-Oct,0.9,6617.6,3.7,1135.1,55039833,2267.1
20-Nov,1,6528.4,3.4,1106.5,61587622,2591.3
20-Dec,1,6505.9,3.4,1102.7,61587622,2801.4
